TYPE,NAME,file_path,drive_share_link,intended_use,notes
persona_image,Persephone's Children,images/personas/Persephone's Children.jpg,,/personas card + hero,primary band image
persona_image,Lugal I-Shun,images/personas/justdef1.png,,/personas card,reggae persona - using justdef1 image as placeholder
persona_image,Dingiren Kinninzi,images/personas/dangerous energy.png,,/personas card,cinematic house persona - using available image
persona_image,justdef1,images/personas/justdef1.png,,/personas card,producer/composer
logo,Echoed Words Main,logos/echoed-high-resolution-logo.png,,header/footer,main logo
logo,Echoed Words Transparent,logos/echoed-high-resolution-logo-transparent.png,,overlays,transparent version
logo,Echoed Words Grayscale,logos/echoed-high-resolution-logo-grayscale.png,,print/mono,grayscale version
logo,Simple Clean Brand Board,logos/simple-and-clean-brand-board.png,,brand reference,brand board
logo,Color Gradients Brand Board,logos/color-gradients-brand-board.jpeg,,brand reference,color palette
logo,Layout Circle Icon,logos/layout-circle-icon-color-transparent.png,,favicon/small use,circular icon
monogram,Circle Color Transparent,logos/monograms/monogram-circle-color-transparent.png,,social media,circular monogram
monogram,Letter Black Transparent,logos/monograms/monogram-letter-black-transparent.png,,letterhead,letter E monogram
monogram,Square Color Transparent,logos/monograms/monogram-square-color-transparent.png,,app icons,square monogram
text_logo,Slogan Black Transparent,logos/text/text-slogan-black-transparent.png,,marketing,tagline text
text_logo,Slogan Color Transparent,logos/text/text-slogan-color-transparent.png,,marketing,tagline colored
text_logo,Wordmark Color,logos/text/text-wordmark-color.png,,headers,brand name colored
text_logo,Wordmark White,logos/text/text-wordmark-white.png,,dark backgrounds,brand name white
watermark,Pattern Color Transparent,logos/watermark/watermark-pattern-color-transparent.png,,backgrounds,repeating pattern
copyright,Trademark Color Transparent,logos/copyright/copyright-trademark-color-transparent.png,,legal documents,trademark symbol
copyright,Year Font Color Transparent,logos/copyright/copyright-year-font-color-transparent.png,,copyright notices,year marking
audio,A SKYSCRAPER,audio/mp3/A SKYSCRAPER.mp3,,streaming/sync,rock track
audio,Ain't going to Let you,audio/mp3/Ain't going to Let you.mp3,,streaming/sync,emotional ballad
audio,Bare Naked Edited Filter,audio/mp3/Bare Naked Edited Filter.mp3,,streaming/sync,filtered version
audio,Bare Naked Edited Filter (Remix),audio/mp3/Bare Naked Edited Filter (Remix).mp3,,streaming/sync,remix version
audio,Carolina Inspiration - Stagecoach 2025,audio/mp3/Carolina Inspiration - Stagecoach 2025.mp3,,streaming/sync,country inspiration
audio,Changed,audio/mp3/Changed.mp3,,streaming/sync,transformation theme
audio,Dangerous Energy,audio/mp3/Dangerous Energy.mp3,,streaming/sync,high energy track
audio,Drag Them to the Deep,audio/mp3/Drag Them to the Deep.mp3,,streaming/sync,dark/heavy track
audio,Drink Slow (Rock),audio/mp3/Drink Slow (Rock).mp3,,streaming/sync,rock version
audio,Drink Some More (Rock version),audio/mp3/Drink Some More (Rock version).mp3,,streaming/sync,rock variant
audio,Emergence See. (AI Convergence) Female Voice,audio/mp3/Emergence See. (AI Convergence) Female Voice.mp3,,streaming/sync,female vocal version
audio,Emergence See. (AI Conversion) Male Voice,audio/mp3/Emergence See. (AI Conversion) Male Voice.mp3,,streaming/sync,male vocal version
audio,Eternally,audio/mp3/Eternally.mp3,,streaming/sync,eternal theme
audio,Federale,audio/mp3/Federale.mp3,,streaming/sync,western/federal theme
audio,Free Use,audio/mp3/Free Use.mp3,,streaming/sync,open license track
audio,Go On,audio/mp3/Go On.mp3,,streaming/sync,motivational track
audio,Hope Wins Over Reasoning,audio/mp3/Hope Wins Over Reasoning.mp3,,streaming/sync,hopeful message
audio,I Can't Dance,audio/mp3/I Can't Dance.mp3,,streaming/sync,dance-themed
